,condition,odometer,mmr,sellingprice,using_time
482600,4.1,30383.0,26300,25400,3
160667,4.4,43033.0,20300,19750,2
251833,3.8,88107.0,11850,12500,3
490097,4.5,62431.0,21900,24100,4
29628,3.9,29369.0,46500,45500,3
311110,1.9,152775.0,3725,3900,10
387222,4.9,3837.0,15100,15200,1
111975,3.7,34445.0,14900,15300,3
241398,3.7,33656.0,12300,11800,3
285064,2.4,75593.0,7850,8200,8
88759,3.6,126239.0,5625,6600,7
348763,4.3,29380.0,11250,10800,2
409981,2.6,103459.0,9600,10000,10
92860,4.4,2800.0,21400,20700,1
239050,4.6,23849.0,12400,12500,0
310155,4.1,24373.0,36600,36800,3
148296,4.4,87238.0,8775,7700,3
495256,3.2,31908.0,18500,17300,2
348685,4.4,18805.0,15200,15200,1
139790,1.9,107277.0,2925,2550,12
478468,2.6,18729.0,14450,13500,2
334832,4.4,53050.0,8325,8601,2
321467,3.6,102614.0,12450,12200,8
508065,3.8,32865.0,11600,12000,0
237965,3.0,107194.0,6225,4600,4
98921,4.6,41859.0,24300,27000,3
307147,3.5,105787.0,5850,6400,7
361229,3.9,114863.0,975,700,14
117314,3.4,53712.0,12350,11600,1
470719,3.5,95809.0,12500,11100,1
87171,3.8,85174.0,8550,8200,5
156378,4.3,35450.0,12400,13400,3
295206,4.5,7156.0,55300,54100,0
171192,3.5,32372.0,16650,16300,3
441862,3.0,89569.0,12750,12700,5
316493,2.8,32998.0,11700,11900,0
286024,3.5,42908.0,11450,11400,2
377307,3.8,104544.0,1950,2000,10
55172,4.1,50034.0,12750,16000,7
524494,,143618.0,4525,3700,9
505036,4.0,33576.0,35400,33600,1
10767,3.7,85261.0,8225,9500,6
202728,2.1,99992.0,4050,4000,6
177679,3.7,57271.0,14350,14100,3
28733,3.7,49607.0,11200,11600,3
20071,1.0,20599.0,14000,11200,2
505689,4.1,39186.0,20100,20000,3
66184,2.8,23096.0,19600,21250,3
380020,1.0,179119.0,375,325,15
257520,3.9,30525.0,31400,29700,1
192551,4.3,80770.0,8075,8300,4
509763,2.9,92573.0,6875,4600,4
156791,3.7,71118.0,33400,32000,4
285673,3.6,52984.0,15500,14900,5
151068,4.0,31400.0,32400,34000,4
342820,2.7,17472.0,17950,16600,3
540880,4.7,5196.0,19950,19900,3
340927,1.9,29968.0,16400,13400,3
501635,4.6,7946.0,18350,18000,1
239432,4.3,42782.0,30500,30800,2
200416,1.9,62926.0,12300,11000,4
102405,2.1,174179.0,2000,1000,14
111159,3.1,92058.0,3350,4800,15
50479,3.0,160770.0,1725,4300,12
172994,4.0,30876.0,18300,18800,1
529163,3.4,54255.0,9700,9600,2
526579,3.7,37666.0,24200,22800,3
338465,3.3,36296.0,17350,15200,3
539185,3.7,24053.0,9625,9500,2
506916,4.3,102796.0,5050,6400,7
216885,1.9,133955.0,5075,4100,8
365402,3.7,24953.0,15250,15400,4
413036,4.4,69694.0,12350,14600,7
398634,,118421.0,2525,2800,11
322281,2.7,40156.0,17950,17000,4
451651,4.1,126420.0,11850,12900,7
83056,4.6,50349.0,11200,12100,4
365906,4.7,24300.0,11850,11400,2
41103,3.6,20283.0,28300,28000,3
